iter	Passed	Remaining
398	188042	141856
399	188493	141369
400	188957	140893
401	189552	140514
402	190002	140026
403	190454	139540
404	190900	139050
405	191346	138561
406	191862	138121
407	192314	137636
408	192784	137164
409	193242	136683
410	193700	136202
411	194198	135750
412	194677	135284
413	195174	134830
414	195635	134351
415	196077	133860
416	196517	133367
417	196977	132889
418	197422	132400
419	197888	131925
420	198326	131432
421	198772	130944
422	199215	130455
423	199760	130032
424	200249	129573
425	200694	129085
426	201144	128600
427	201609	128125
428	202104	127669
429	202604	127217
430	203171	126805
431	203670	126351
432	204207	125920
433	204672	125444
434	205171	124989
435	205725	124567
436	206238	124120
437	206736	123664
438	207244	123213
439	207727	122748
440	208233	122295
441	208754	121852
442	209263	121401
443	209762	120944
444	210256	120484
445	210769	120034
446	211316	119604
447	211811	119143
448	212352	118709
449	212894	118274
450	213399	117819
451	213925	117375
452	214444	116926
453	214973	116483
454	215512	116044
455	216007	115582
456	216512	115126
457	217022	114671
458	217518	114208
459	218047	113763
460	218589	113325
461	219094	112867
462	219601	112409
463	220126	111960
464	220673	111523
465	221204	111076
466	221721	110623
467	222210	110155
468	222727	109701
469	223225	109238
470	223769	108796
471	224275	108336
472	224798	107884
473	225306	107424
474	225817	106966
475	226331	106508
476	226835	106046
477	227327	105578
478	227882	105139
479	228390	104679
480	228883	104210
481	229379	103744
482	229907	103291
483	230406	102825
484	230909	102362
485	231441	101910
486	231945	101446
487	232462	100987
488	233076	100571
489	233578	100105
490	234126	99658
491	234628	99192
492	235159	98738
493	235648	98266
494	236178	97811
495	236671	97340
496	237179	96876
497	237687	96411
498	238225	95958
499	238741	95496
500	239286	95045
501	239808	94585
502	240318	94120
503	240815	93650
504	241324	93184
505	241832	92718
506	242337	92250
507	242877	91796
508	243394	91332
509	243888	90860
510	244418	90401
511	244951	89942
512	245444	89469
513	245966	89007
514	246497	88547
515	247014	88082
516	247538	87620
517	248070	87159
518	248556	86683
519	249075	86218
520	249558	85740
521	250086	85278
522	250625	84819
523	251114	84343
524	251566	83855
525	252017	83367
526	252460	82875
527	252915	82389
528	253355	81897
529	253808	81410
530	254259	80922
531	254704	80433
532	255143	79941
533	255591	79453
534	256053	78969
535	256501	78481
536	256958	77996
537	257407	77509
538	257868	77025
539	258312	76536
540	258764	76051
541	259209	75562
542	259662	75077
543	260130	74596
544	260626	74123
545	261173	73664
546	261693	73197
547	262244	72739
548	262761	72271
549	263225	71788
550	263685	71305
551	264133	70818
552	264564	70327
553	265005	69838
554	265448	69351
555	265893	68864
556	266356	68382
557	266797	67894
558	267285	67419
559	267734	66933
560	268196	66451
561	268645	65966
562	269083	65478
563	269537	64994
564	269980	64508
565	270427	64023
566	270878	63539
567	271322	63053
568	271771	62569
569	272222	62085
