iter	Logloss	AUC
63	0.611933694	0.7283290407
64	0.6117049953	0.7283489041
65	0.6114241953	0.72858233
66	0.6108954809	0.7288087015
67	0.6106300924	0.7290217629
68	0.610310746	0.7292340089
69	0.6100554293	0.7294981277
70	0.6098309046	0.7295935697
71	0.6095123031	0.7299589073
72	0.6092848392	0.7301890226
73	0.609096531	0.7303680075
74	0.6085420595	0.7305023527
75	0.6082988894	0.7306993913
76	0.6081088816	0.7309547804
77	0.607762966	0.7311338246
78	0.6074754541	0.7314714894
79	0.6072237223	0.7317563769
80	0.6069346336	0.7320740612
81	0.6066678388	0.7323154251
82	0.6062526936	0.7324350341
83	0.606052106	0.732582464
84	0.6057602592	0.732772793
85	0.6055887794	0.7328825052
86	0.6053539305	0.7331213557
87	0.6050646379	0.7333200017
88	0.6049195931	0.7334165244
89	0.6048093895	0.7334926708
90	0.6046644248	0.7335710655
91	0.604069299	0.7337470315
92	0.6039094207	0.7339134968
93	0.6037490139	0.7340453971
94	0.6035050243	0.7342044219
95	0.6033735695	0.7343099181
96	0.6032752791	0.7343711746
97	0.6031582998	0.734433092
98	0.6027641296	0.7347077313
99	0.6026018036	0.7348812717
100	0.6024881221	0.7349772787
101	0.602348171	0.7350519251
102	0.6018797433	0.7351906028
103	0.6016350043	0.7354773742
104	0.6015341622	0.73556745
105	0.6014509166	0.735632003
106	0.6012557213	0.7358499539
107	0.6011675723	0.7359357951
108	0.6009100299	0.7360915481
109	0.6008033161	0.7361653152
110	0.6005438888	0.7363812435
111	0.6004530346	0.7364535368
112	0.6003424881	0.7365679852
113	0.6002343305	0.7366800767
114	0.5997950644	0.7368293697
115	0.5997108203	0.736909693
116	0.5996107685	0.7370177616
117	0.5994721682	0.7371638068
118	0.5993537859	0.7372800261
119	0.5991213057	0.7374263228
120	0.5990184467	0.7375324345
121	0.5989499232	0.7375680051
122	0.598846128	0.7376666927
123	0.598701153	0.7377926479
124	0.5982907202	0.737930635
125	0.5980864771	0.7380659078
126	0.5979674626	0.7381326018
127	0.5978613412	0.7382250295
128	0.5976623025	0.7384285738
129	0.5975810551	0.7385120804
130	0.5972849243	0.7385898677
131	0.5971394014	0.7387135479
132	0.5969498864	0.7388061534
133	0.5967713818	0.7390030855
134	0.5966830695	0.7390627934
135	0.5965854583	0.7391579732
136	0.5965110864	0.7392438643
137	0.596439071	0.739303403
138	0.596349664	0.7393570203
139	0.596132747	0.7395506291
140	0.5960789873	0.7396248009
141	0.5959049192	0.7397646809
142	0.5956718533	0.7399933851
143	0.5955824484	0.7400789035
144	0.5955003136	0.7402236797
145	0.5954087671	0.7403514511
146	0.5950988179	0.7404629775
147	0.5949597579	0.7406436853
148	0.5948594739	0.7407492968
149	0.5947759597	0.7408285047
150	0.5945205379	0.7409747815
151	0.5944332302	0.7410751418
152	0.5942914711	0.7411922978
153	0.5942368016	0.7412314957
154	0.5940054114	0.7413145518
155	0.5939324824	0.7414075219
156	0.593834877	0.7415348114
157	0.5937421782	0.74162958
158	0.5936750708	0.7417163817
159	0.5935033175	0.7418209776
160	0.5932452901	0.7420234092
161	0.5931424146	0.7420971609
162	0.5930871012	0.7421547846
163	0.5929167317	0.7423361221
164	0.5928467979	0.7424126915
165	0.5927758094	0.742480267
166	0.5927174451	0.7425453676
167	0.5926381687	0.7426316446
168	0.5925712399	0.7426917895
169	0.5924964181	0.7427497554
170	0.5924254948	0.742791001
171	0.5923330874	0.742846791
172	0.5922854357	0.7429044541
173	0.5920951408	0.7429641057
174	0.5920122655	0.7430559478
175	0.5919491105	0.7431497476
176	0.5919056835	0.7431718234
177	0.5918465451	0.7432351238
178	0.5917922507	0.7433095876
179	0.591739852	0.7433813784
180	0.5915617755	0.7435776965
181	0.5914802399	0.7436642493
182	0.5914229091	0.7437556244
183	0.5913536477	0.7438173213
184	0.5912791904	0.7439050574
185	0.591231352	0.7439726908
186	0.5911698815	0.7440163029
187	0.5910283797	0.7441187134
188	0.5909539747	0.7442163077
189	0.5907677256	0.7442739607
190	0.5907080555	0.7443243495
191	0.5906466961	0.7443971614
192	0.5905991208	0.7444421872
193	0.5905283583	0.7445444164
194	0.5904635756	0.7446346666
195	0.5904189598	0.7446711594
196	0.5903537943	0.7447409978
197	0.5903000529	0.7448120344
198	0.5901463593	0.7449940514
199	0.5900103007	0.7451156392
200	0.5899709775	0.7451626405
201	0.5899418399	0.7452140699
202	0.5898071763	0.7453483534
203	0.5896840078	0.7454425891
204	0.5896353336	0.7454913194
205	0.5895110233	0.7456319079
206	0.5894385849	0.7456967186
207	0.5892490227	0.7457592338
208	0.5891805889	0.745823453
209	0.5890558331	0.7459613697
210	0.5889008337	0.7460794298
211	0.5888371792	0.7461365766
212	0.5887852093	0.7461784241
213	0.5886490796	0.746310439
214	0.5886145319	0.7463490996
215	0.5885714116	0.7464067894
216	0.588430268	0.7465116231
217	0.5883075293	0.7466195619
218	0.588232281	0.7467065328
219	0.5881857917	0.7467571067
220	0.5880678272	0.7468749564
221	0.5878960302	0.7470134871
222	0.5878659891	0.7470380034
223	0.5878293262	0.7470858622
224	0.5877709917	0.7471687776
225	0.5876083292	0.7472303096
226	0.5875031414	0.7473141709
227	0.5874402173	0.7473779316
228	0.5873907226	0.7474365435
229	0.5873347516	0.7475008589
230	0.5872754703	0.747584795
231	0.5872402546	0.7476318534
232	0.5871280434	0.7476699656
